Industry,"('OLS', 'likelihood')","('OLS', 'aic')","('OLS', 'bic')","('OLS', 'alpha')","('OLS', 'beta')","('OLS', 'sigma2')","('OLS', 'alpha_se')","('OLS', 'beta_se')","('HMM', 'convergence')","('HMM', 'likelihood')","('HMM', 'aic')","('HMM', 'bic')","('HMM', 'alpha_0')","('HMM', 'alpha_1')","('HMM', 'beta_0')","('HMM', 'beta_1')","('HMM', 'sigma2_0')","('HMM', 'sigma2_1')","('HMM', 'p00')","('HMM', 'p10')","('HMM', 'alpha_0_se')","('HMM', 'alpha_1_se')","('HMM', 'beta_0_se')","('HMM', 'beta_1_se')","('HMM', 'sigma2_0_se')","('HMM', 'sigma2_1_se')","('HMM', 'p00_se')","('HMM', 'p10_se')","('HMM', 'alpha_cov')","('HMM', 'beta_cov')","('HMM', 'sigma2_cov')","('HMM', 'prob_cov')","('HMM', 'prob_0')","('HMM', 'prob_1')","('HMM', 'mean_prob_0')","('HMM', 'mean_prob_1')"
Agric,1610.6191029516308,-3217.2382059032616,-3207.2103749536404,0.0007023797494436898,0.9150904769752795,0.0032377590696001024,0.001719384664586689,0.031999575274894075,True,1712.656345830846,-3409.312691661692,-3369.201367863208,0.0038711628844976032,-0.000397641492900563,0.9613347985587982,0.8536226307275867,0.006921052187450364,0.0014211940519699927,0.9336194046029457,0.03153260694093621,0.004572920980124233,0.0025142422648044256,0.15581432804526663,0.07175544164985594,0.0022111196042568335,0.0003011399437785776,0.0342818207865464,0.018262859876554044,-2.872153528194857e-06,-0.0054275147186407,5.294743949876923e-07,-0.00022885282926790655,0.04050929804900513,0.9594907019509947,0.3268134768173896,0.6731865231826123
Food ,2400.3698061345403,-4796.739612269081,-4786.71178131946,0.00214598337751311,0.7249079160646512,0.0007822870857660641,0.0008451501346865025,0.015729141890414983,True,2508.8203114620355,-5001.640622924071,-4961.5292991255865,0.003910606848867676,0.00128035858930996,0.7250987623042442,0.7259248274659222,0.0016589568763590791,0.0003519284463582536,0.9564443485973715,0.021639882245051142,0.0026059940627412336,0.0018454471347254795,0.05729725048456945,0.043721065380462755,0.0009428585083947451,0.00016210564654319177,0.04154362771296847,0.018010103948108907,-2.0841424835931134e-06,-0.001775510242274295,1.4636620746551765e-07,0.0001888118405845782,0.9937352786403899,0.0062647213596100666,0.3270284564052934,0.6729715435947056
Soda ,1038.363324596241,-2072.726649192482,-2063.7180728454086,0.00331127292357209,0.8226181838152498,0.0026221759444561327,0.0019955719320817653,0.045110500268151665,True,1131.4573206760263,-2246.9146413520525,-2210.8803359637595,0.004009902534147905,0.0036000613924906965,0.715560525749808,1.0239821922500572,0.0012375432708089864,0.00768926254674923,0.9879690395050366,0.04844717825907315,0.0016125212742345292,0.007553414078812526,0.051563113732263244,0.17730698083702034,0.0001054012985439454,0.0013587800701620187,0.006381152231050606,0.02166979804500418,-4.528364825008552e-07,-0.002596857356676695,4.533169728177083e-08,-4.5696326861858466e-05,0.9578048652185074,0.042195134781492526,0.7930200053233036,0.20697999467669892
Beer ,1719.9032356927755,-3435.806471385551,-3425.77864043593,0.0030340521263198315,0.9383534299827483,0.0026600029976913543,0.0015584463194129906,0.029004341690999913,True,1952.155578745766,-3888.311157491532,-3848.199833693048,0.006076678795385282,0.00289574083801058,1.068263998246601,0.830854701472444,0.008914466458297854,0.0010964992710597787,0.9736504092631318,0.006964044168632789,0.006794665530286702,0.001144146942980846,0.1264876911510055,0.039814913530429284,0.003321579203166517,8.803457945708819e-05,0.024447627865425363,0.00408328565660183,-4.029236703177556e-07,0.00028242375174601056,1.869350339089256e-07,-5.212945133316781e-05,0.005363146079617237,0.9946368539203828,0.19387420466383842,0.8061257953361631
Smoke,1813.2825659866871,-3622.5651319733743,-3612.537301023753,0.004600996831912228,0.6279938870382089,0.0022487596869198347,0.0014329212002701789,0.026668185866400882,True,1913.1545098821125,-3810.309019764225,-3770.197695965741,0.005880571921364724,0.004411395262145415,0.41236511259127995,0.651284506191188,0.0077661342353658675,0.0014953767270726689,0.9794786140307075,0.003396165455588113,0.00843073629526752,0.001274128147528047,0.35842281974031975,0.033964325369404844,0.001860878324545325,0.000172159495979497,0.03046177415776128,0.005801031797220537,-8.994163149863349e-07,-0.006034093829897675,2.23123114496559e-07,-0.0001489822000728866,0.9555251039258076,0.04447489607419227,0.1172207936295836,0.8827792063704142
Toys ,1301.9080155396168,-2599.8160310792337,-2589.7882001296125,-0.000768189600694398,1.211069815423995,0.005641315111061459,0.0022695563186093067,0.04223885425627416,True,1575.1330640132514,-3134.266128026503,-3094.1548042280187,0.004579032432139719,-0.0028435794361775964,1.1485738381409922,1.277700997786659,0.01712731128382293,0.001834584856601227,0.972490214154945,0.009436906900164195,0.007922712061898277,0.0016139987538471572,0.20888437087094724,0.04671516389414083,0.006366196182711239,0.0001758628492014914,0.014689405376231337,0.0037717028967497435,-9.03171024611952e-07,-0.0013297341585527859,6.937276302426117e-07,-4.333701136415067e-06,0.03674882156680433,0.9632511784331956,0.24695874496118636,0.7530412550388138
Fun  ,1677.5459842410492,-3351.0919684820983,-3341.064137532477,0.0006167724823088791,1.4217439690071962,0.0028705663840844216,0.0016189542714219762,0.030130458961277327,True,1779.228526132242,-3542.457052264484,-3502.345728466,0.0017429894195088998,-0.00041202797756262295,1.2459348638009626,1.6984298407044662,0.001807321193979308,0.009898111579157452,0.9848076996433429,0.11959893761501818,0.0015682295757695503,0.010416656511584944,0.04416103119238075,0.08548360668321571,0.00012757626663052412,0.0029574126672760686,0.008109473027994713,0.05807948852980033,-3.939605289350715e-06,-0.0008094683818237018,1.523583379995539e-07,-0.0002399881946181503,0.9575635095579026,0.04243649044209726,0.8863230407629805,0.1136769592370186
Books,1727.6751539976003,-3451.3503079952006,-3441.3224770455795,-0.0002622921322691491,1.1163375493554675,0.0026230794217798944,0.0015475921024160622,0.02880233318121322,True,1925.617568473308,-3835.235136946616,-3795.123813148132,0.008695430237529342,-0.0027637897352447596,1.1290289395245112,1.1030290290147982,0.00791897630956161,0.0010695397203584877,0.9559810162479866,0.01321564724712181,0.006511184944508197,0.001412775227638097,0.08818844771222475,0.053029663404992045,0.002203028440115782,0.00011286109078225352,0.026213257184129334,0.005115233086387179,-1.0406935191247706e-06,-0.0021764936504101834,1.798069694147126e-07,-4.19992319857212e-05,0.0199060178160392,0.9800939821839608,0.22263582699260331,0.7773641730073997
Hshld,2220.540742185395,-4437.08148437079,-4427.05365342117,0.0005708776451205187,0.8981766252061603,0.001081014638067971,0.000993497027348381,0.018490035165958717,True,2327.451843332973,-4638.903686665946,-4598.792362867462,0.0011361283915219513,0.0006406516290747438,0.9332819531056729,0.8614406053802602,0.00262806043229497,0.0005730599998928932,0.9662065210362658,0.01079697418627073,0.003615661588560489,0.0012699002604015742,0.10133934472665575,0.05568211712075386,0.0006466481172100753,5.0593049602530994e-05,0.02984617011854531,0.0055605986842194146,-1.7263803107739656e-06,-0.0037749903205025644,2.2900724560207056e-08,-9.172498251682275e-05,0.17535615003026098,0.824643849969739,0.24438225143118622,0.7556177485688137
Clths,1930.4992034249572,-3856.9984068499143,-3846.970575900293,0.001323365326545442,0.8163428489343127,0.001821312734182959,0.0012895644333761503,0.024000164132885166,True,2070.8540506088593,-4125.708101217719,-4085.5967774192345,0.00025730777039850597,0.004122094847307729,0.9264343114901955,0.6361447476380465,0.0010056682524362535,0.006924739094490933,0.9846273757691243,0.1062621031616869,0.001276132477927091,0.010322879780641323,0.09468657369534576,0.3487965566113654,0.000264766951720923,0.004724760947959137,0.01661975640481022,0.05806711402992104,-5.537880874525947e-06,-0.021856301172537184,1.0971492125207538e-06,2.4786833844905988e-05,0.9854491470408221,0.014550852959177803,0.8723764273857423,0.1276235726142579
Hlth ,801.8347620797404,-1599.6695241594807,-1590.88904282535,0.0004021275646876438,1.1259789436782928,0.003984926556781619,0.0026036459089343166,0.05722241194497797,True,887.0449198085701,-1758.0898396171401,-1722.9679142806174,0.008362844083116003,-0.0027078461237564602,1.1074387115624653,1.146299426952253,0.010047843333526221,0.0016671871601150264,0.9613048289534749,0.015273055764427978,0.01026734238534052,0.00330814410522526,0.18604313311654178,0.05755333324601687,0.0026228322858900983,0.00021082738124046058,0.03469925100705634,0.008906219981196038,-1.771939304192401e-05,-0.0011518766745046676,3.760137539208496e-07,-0.0001484049626232711,0.013339933781005897,0.9866600662189942,0.2720548404253523,0.7279451595746464
MedEq,1922.3667685409832,-3840.7335370819665,-3830.7057061323453,0.0030904375276155187,0.8404279173023235,0.0018481482743774918,0.0012990300278315206,0.024176328901906793,True,1990.9592060340487,-3965.9184120680975,-3925.8070882696134,0.0027856654982626166,0.0023528100212780474,0.9434660998944256,0.7528822852011406,0.0010874185782154613,0.0036694287027420874,0.9876913700566401,0.03261096796930317,0.0015558479641288078,0.004259277026388968,0.05721166208913993,0.050521895254940115,0.00012189231726641158,0.0008080669675023198,0.009708434460121651,0.026618607594441075,-2.4917425714955454e-06,-0.0002136963614160844,5.904229635539247e-08,-0.00016870182190433292,0.98175993486984,0.018240065130159924,0.7167857782307712,0.2832142217692275
Drugs,2127.007807235383,-4250.015614470766,-4239.9877835211455,0.0027736460248706848,0.8370459755552558,0.0012790591683493745,0.0010806774818527074,0.02011255604442734,True,2206.2553556698017,-4396.510711339603,-4356.399387541119,0.0031516847838757305,0.0024084844685191803,0.7702598233761522,0.9439691400289633,0.000788015164164659,0.003618302538001357,0.9830196502444832,0.087010649028753,0.0012065968194071178,0.006401996666204352,0.03520589790477655,0.07015131634948646,7.817755843083626e-05,0.0008537787246179547,0.009281471984043844,0.03105607014670731,-3.6151797214611202e-06,-0.0009785242851447782,4.850630521843799e-08,-6.351437027000232e-05,0.9781726881272927,0.021827311872707297,0.8344984995157461,0.16550150048425344
Chems,2332.3618705344584,-4660.723741068917,-4650.695910119296,0.0009449211684771142,1.0418791849745208,0.0008840717473082057,0.0008984512981313006,0.016721133169051428,True,2441.3958203133507,-4866.791640626701,-4826.680316828217,0.005978017118650795,-0.0003719916999430063,1.0673474542299228,1.0188487529169656,0.0023051614264312558,0.0004482216280000817,0.9285435233858761,0.021728844892855106,0.0032160714062686563,0.0010661706891155747,0.05043665556087951,0.04111340772112521,0.0006431368385854097,6.232523879541927e-05,0.042237439050942044,0.01036135425866476,-3.1572095221343455e-07,-0.0009535008300914886,3.149642968585225e-08,-0.00012405185277315737,0.0831006351207032,0.9168993648792967,0.22884527260766274,0.7711547273923337
